,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,rooms,bus_stop,subway,park,school,police,hospital,parrilla,gimnasio,sum,pileta,hidromasaje,vigilancia,playrooom,cancha,solarium,al_frente,nuevo,lavadero,aire,calefaccion,luminoso,garage,balcon,baulera,terraza
0,138000.0,45.0,40.0,3066.666666666666,3450.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
1,195000.0,65.0,60.0,3000.0,3250.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
20,240000.0,57.0,54.0,4210.526315789473,4444.444444444444,2.0,20.0,1.0,4.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
22,550000.0,160.0,150.0,3437.5,3666.666666666666,4.0,2.0,0.0,3.0,2.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0
25,1100000.0,310.0,300.0,3548.3870967741937,3666.666666666666,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0
26,237895.0,69.0,53.0,3447.753623188406,4488.584905660377,2.0,10.0,0.0,3.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1
27,237895.0,69.0,53.0,3447.753623188406,4488.584905660377,2.0,10.0,0.0,3.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1
31,92600.0,33.0,33.0,2806.060606060606,2806.060606060606,1.0,8.0,1.0,3.0,1.0,0.0,0.0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
34,340000.0,128.0,120.0,2656.25,2833.333333333333,4.0,20.0,1.0,4.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
51,520000.0,150.0,130.0,3466.666666666666,4000.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
83,585000.0,304.0,185.0,1924.342105263158,3162.162162162162,4.0,4.0,0.0,2.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
84,585000.0,304.0,185.0,1924.342105263158,3162.162162162162,6.0,4.0,0.0,2.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
88,360000.0,147.0,143.0,2448.9795918367345,2517.482517482517,4.0,4.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
89,1450000.0,463.0,286.0,3131.7494600431964,5069.93006993007,5.0,1.0,0.0,2.0,4.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1
135,307650.0,90.0,84.0,3418.333333333333,3662.5,3.0,1.0,0.0,6.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
