,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,rooms,bus_stop,subway,park,school,police,hospital,parrilla,gimnasio,sum,pileta,hidromasaje,vigilancia,playrooom,cancha,solarium,al_frente,nuevo,lavadero,aire,calefaccion,luminoso,garage,balcon,baulera,terraza,Almagro,Barrio Norte,Belgrano,Caballito,Flores,Palermo,Recoleta,San Telmo,Villa Crespo,Villa Urquiza
0,-34.5598729,-58.443362,138000.0,45.0,40.0,3066.666666666666,3450.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,-34.5598729,-58.443362,195000.0,65.0,60.0,3000.0,3250.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,-34.582680955727966,-58.42436832577609,111700.0,50.0,30.0,2234.0,3723.333333333334,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
3,-34.582680955727966,-58.42436832577609,147900.0,42.0,31.0,3521.4285714285716,4770.967741935484,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,-34.580503566,-58.4058744847,350000.0,104.0,96.0,3365.384615384615,3645.833333333334,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0
5,-34.590926,-58.4116653,270500.0,118.0,73.0,2292.372881355933,3705.479452054794,4.0,5.0,0.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6,-34.635117947800005,-58.4739639408,75000.0,43.0,43.0,1744.186046511628,1744.186046511628,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7,-34.6222111,-58.43912829999999,110000.0,50.0,50.0,2200.0,2200.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
8,-34.623894314299996,-58.4468606529,170500.0,100.0,46.0,1705.0,3706.521739130435,2.0,9.0,1.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,-34.6209278,-58.44587360000001,220410.0,81.0,75.0,2721.1111111111113,2938.8,3.0,9.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
